ID	lineage	domain	phylum	class	order	family	genus	species
L0JMP8	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinemapellirubrum	d__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinemapellirubrum
A0B626	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrixthermoacetophila	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrixthermoacetophila
G8M098	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acetivibrio;s__Acetivibrioclariflavus	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Acetivibrio	s__Acetivibrioclariflavus
A1SVU0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae;g__Psychromonas;s__Psychromonasingrahamii	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Psychromonadaceae	g__Psychromonas	s__Psychromonasingrahamii
K9VH31	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__Oscillatoriaceae;g__Oscillatoria;s__Oscillatorianigro-viridis	d__Bacteria	p__Cyanobacteriota	c__Cyanophyceae	o__Oscillatoriales	f__Oscillatoriaceae	g__Oscillatoria	s__Oscillatorianigro-viridis
B3QYW3	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpetonthalassium	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chloroherpetonaceae	g__Chloroherpeton	s__Chloroherpetonthalassium
K9UD74	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Gomontiellales;f__Chamaesiphonaceae;g__Chamaesiphon;s__Chamaesiphonminutus	d__Bacteria	p__Cyanobacteriota	c__Cyanophyceae	o__Gomontiellales	f__Chamaesiphonaceae	g__Chamaesiphon	s__Chamaesiphonminutus
Q8EJD2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanellaoneidensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae	g__Shewanella	s__Shewanellaoneidensis
Q3A8I0	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae;g__Syntrophotalea;s__Syntrophotaleacarbinolica	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Desulfuromonadales	f__Syntrophotaleaceae	g__Syntrophotalea	s__Syntrophotaleacarbinolica
A5EVW5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Dichelobacter;s__Dichelobacternodosus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__Dichelobacter	s__Dichelobacternodosus
A0A088T3V6	d__Bacteria;p__Mycoplasmatota;c__CandidatusIzimaplasma;o__;f__;g__;s__	d__Bacteria	p__Mycoplasmatota	c__CandidatusIzimaplasma	o__	f__	g__	s__
D1YWD2	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocellapaludicola	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanocellales	f__Methanocellaceae	g__Methanocella	s__Methanocellapaludicola
A6QA61	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__	d__Bacteria	p__Campylobacterota	c__Epsilonproteobacteria	o__Campylobacterales	f__Sulfurovaceae	g__Sulfurovum	s__
Q46SD4	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriaviduspinatubonensis	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriaviduspinatubonensis
A0A167AWA3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Ectothiorhodospira;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Ectothiorhodospira	s__
A6Q0Y6	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Nautiliales;f__Nitratiruptoraceae;g__Nitratiruptor;s__	d__Bacteria	p__Campylobacterota	c__Epsilonproteobacteria	o__Nautiliales	f__Nitratiruptoraceae	g__Nitratiruptor	s__
F0S296	d__Bacteria;p__Aquificota;c__Aquificia;o__Desulfurobacteriales;f__Desulfurobacteriaceae;g__Desulfurobacterium;s__Desulfurobacteriumthermolithotrophum	d__Bacteria	p__Aquificota	c__Aquificia	o__Desulfurobacteriales	f__Desulfurobacteriaceae	g__Desulfurobacterium	s__Desulfurobacteriumthermolithotrophum
E4RJN4	d__Bacteria;p__Bacillota;c__Clostridia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;s__	d__Bacteria	p__Bacillota	c__Clostridia	o__Halanaerobiales	f__Halanaerobiaceae	g__Halanaerobium	s__
F0RVJ4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Sphaerochaetaceae;g__Sphaerochaeta;s__Sphaerochaetaglobosa	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Spirochaetales	f__Sphaerochaetaceae	g__Sphaerochaeta	s__Sphaerochaetaglobosa
B4S7W3	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Prosthecochloris;s__Prosthecochlorisaestuarii	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Prosthecochloris	s__Prosthecochlorisaestuarii
B8FCY1	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatibacillaceae;g__Desulfatibacillum;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfatibacillaceae	g__Desulfatibacillum	s__
A0A7U3YL71	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbuspropionicus	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__Desulfobulbus	s__Desulfobulbuspropionicus
I7J6Y7	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleusbourgensis	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae	g__Methanoculleus	s__Methanoculleusbourgensis
C7RT97	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__CandidatusAccumulibacter;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__CandidatusAccumulibacter	s__
K0NKM2	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__Desulfobaculatoluolica	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__Desulfobacula	s__Desulfobaculatoluolica
J1ASU2	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis;s__Methanofollisliminatans	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae	g__Methanofollis	s__Methanofollisliminatans
D1AHD1	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sebaldella;s__Sebaldellatermitidis	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Sebaldella	s__Sebaldellatermitidis
Q2FR94	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillumhungatei	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanospirillaceae	g__Methanospirillum	s__Methanospirillumhungatei
D5AVK4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Rhodobacter;s__Rhodobactercapsulatus	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Paracoccaceae	g__Rhodobacter	s__Rhodobactercapsulatus
D7BKR5	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__Arcanobacteriumhaemolyticum	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Arcanobacterium	s__Arcanobacteriumhaemolyticum
O67395	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Aquifex;s__Aquifexaeolicus	d__Bacteria	p__Aquificota	c__Aquificia	o__Aquificales	f__Aquificaceae	g__Aquifex	s__Aquifexaeolicus
B2KD08	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Elusimicrobium;s__Elusimicrobiumminutum	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	g__Elusimicrobium	s__Elusimicrobiumminutum
I3Y0E9	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillumbarnesii	d__Bacteria	p__Campylobacterota	c__Epsilonproteobacteria	o__Campylobacterales	f__Sulfurospirillaceae	g__Sulfurospirillum	s__Sulfurospirillumbarnesii
A8MGX5	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Natronincolaceae;g__Alkaliphilus;s__Alkaliphilusoremlandii	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Natronincolaceae	g__Alkaliphilus	s__Alkaliphilusoremlandii
M1P2P3	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa;s__Desulfocapsasulfexigens	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__Desulfocapsa	s__Desulfocapsasulfexigens
B9MPS2	d__Bacteria;p__Bacillota;c__;o__Caldicellulosiruptorales;f__Caldicellulosiruptoraceae;g__Caldicellulosiruptor;s__Caldicellulosiruptorbescii	d__Bacteria	p__Bacillota	c__	o__Caldicellulosiruptorales	f__Caldicellulosiruptoraceae	g__Caldicellulosiruptor	s__Caldicellulosiruptorbescii
Q21SB0	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax;s__Rhodoferaxferrireducens	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax	s__Rhodoferaxferrireducens
T1XAE1	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__Variovoraxparadoxus	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	s__Variovoraxparadoxus
Q47BV2	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Dechloromonas;s__Dechloromonasaromatica	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Azonexaceae	g__Dechloromonas	s__Dechloromonasaromatica
Q46BU1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcinabarkeri	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcinabarkeri
Q6LH55	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Photobacterium;s__Photobacteriumprofundum	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Photobacterium	s__Photobacteriumprofundum
E3HCD3	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Ilyobacter;s__Ilyobacterpolytropus	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Ilyobacter	s__Ilyobacterpolytropus
A7IKV5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacterautotrophicus	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Xanthobacteraceae	g__Xanthobacter	s__Xanthobacterautotrophicus
A0A142B706	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonasmontiporae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Endozoicomonadaceae	g__Endozoicomonas	s__Endozoicomonasmontiporae
Q2LXK4	d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophusaciditrophicus	d__Bacteria	p__Thermodesulfobacteriota	c__Syntrophia	o__Syntrophales	f__Syntrophaceae	g__Syntrophus	s__Syntrophusaciditrophicus
B1ZS39	d__Bacteria;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;f__Opitutaceae;g__Opitutus;s__Opitutusterrae	d__Bacteria	p__Verrucomicrobiota	c__Opitutia	o__Opitutales	f__Opitutaceae	g__Opitutus	s__Opitutusterrae
F4LSL6	d__Bacteria;p__Bacillota;c__Clostridia;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__Tepidanaerobacter;s__Tepidanaerobacteracetatoxydans	d__Bacteria	p__Bacillota	c__Clostridia	o__Thermosediminibacterales	f__Tepidanaerobacteraceae	g__Tepidanaerobacter	s__Tepidanaerobacteracetatoxydans
G8PGJ3	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Stappiaceae;g__Pseudovibrio;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Stappiaceae	g__Pseudovibrio	s__
L0GYX7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thioflavicoccus;s__Thioflavicoccusmobilis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Thioflavicoccus	s__Thioflavicoccusmobilis
E4T5E5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__Paludibacterpropionicigenes	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__Paludibacter	s__Paludibacterpropionicigenes
Q2RGF4	d__Bacteria;p__Bacillota;c__Clostridia;o__Moorellales;f__Moorellaceae;g__Moorella;s__Moorellathermoacetica	d__Bacteria	p__Bacillota	c__Clostridia	o__Moorellales	f__Moorellaceae	g__Moorella	s__Moorellathermoacetica
S6AE37	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Sulfuricellaceae;g__Sulfuricella;s__Sulfuricelladenitrificans	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Sulfuricellaceae	g__Sulfuricella	s__Sulfuricelladenitrificans
K4KE05	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__Simiduia;s__Simiduiaagarivorans	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Cellvibrionales	f__Cellvibrionaceae	g__Simiduia	s__Simiduiaagarivorans
A7NQ23	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Roseiflexus;s__Roseiflexuscastenholzii	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__Chloroflexales	f__Roseiflexaceae	g__Roseiflexus	s__Roseiflexuscastenholzii
G8QIZ7	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Azospira;s__Azospiraoryzae	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Azospira	s__Azospiraoryzae
D5U3P2	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspiramurdochii	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Brachyspirales	f__Brachyspiraceae	g__Brachyspira	s__Brachyspiramurdochii
A9BFV9	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Petrotoga;s__Petrotogamobilis	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Petrotogales	f__Petrotogaceae	g__Petrotoga	s__Petrotogamobilis
D2RP17	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcusfermentans	d__Bacteria	p__Bacillota	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcusfermentans
Q217E4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonaspalustris	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Rhodopseudomonas	s__Rhodopseudomonaspalustris
D4H5X7	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Geovibrionaceae;g__Denitrovibrio;s__Denitrovibrioacetiphilus	d__Bacteria	p__Deferribacterota	c__Deferribacteres	o__Deferribacterales	f__Geovibrionaceae	g__Denitrovibrio	s__Denitrovibrioacetiphilus
B8GF30	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanosphaerula;s__Methanosphaerulapalustris	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanosphaerula	s__Methanosphaerulapalustris
G7W8Y0	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinusorientis	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinusorientis
Q3AD41	d__Bacteria;p__Bacillota;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Carboxydothermus;s__Carboxydothermushydrogenoformans	d__Bacteria	p__Bacillota	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Carboxydothermus	s__Carboxydothermushydrogenoformans
D3VBD3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Xenorhabdus;s__Xenorhabdusnematophila	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdusnematophila
A9NG93	d__Bacteria;p__Mycoplasmatota;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasmalaidlawii	d__Bacteria	p__Mycoplasmatota	c__Mollicutes	o__Acholeplasmatales	f__Acholeplasmataceae	g__Acholeplasma	s__Acholeplasmalaidlawii
L0AMB8	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natronobacterium;s__Natronobacteriumgregoryi	d__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronobacterium	s__Natronobacteriumgregoryi
D5EK34	d__Bacteria;p__Verrucomicrobiota;c__Opitutia;o__Puniceicoccales;f__Coraliomargaritaceae;g__Coraliomargarita;s__Coraliomargaritaakajimensis	d__Bacteria	p__Verrucomicrobiota	c__Opitutia	o__Puniceicoccales	f__Coraliomargaritaceae	g__Coraliomargarita	s__Coraliomargaritaakajimensis
B2A000	d__Bacteria;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;f__Opitutaceae;g__Opitutus;s__Opitutusterrae	d__Bacteria	p__Verrucomicrobiota	c__Opitutia	o__Opitutales	f__Opitutaceae	g__Opitutus	s__Opitutusterrae
D3RTF5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Allochromatium;s__Allochromatiumvinosum	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Allochromatium	s__Allochromatiumvinosum
A0A0B5HLG0	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea	p__	c__	o__	f__	g__	s__
Q24NC5	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacteriumhafniense	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacteriumhafniense
D5UE54	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonasflavigena	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonasflavigena
Q47YT7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;s__Colwelliapsychrerythraea	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Colwelliaceae	g__Colwellia	s__Colwelliapsychrerythraea
F7XK64	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosalsum;s__Methanosalsumzhilinae	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosalsum	s__Methanosalsumzhilinae
O26980	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacterthermautotrophicus	d__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanothermobacter	s__Methanothermobacterthermautotrophicus
Q18H22	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloquadratum;s__Haloquadratumwalsbyi	d__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratumwalsbyi
I3Y9H0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiocystis;s__Thiocystisviolascens	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Thiocystis	s__Thiocystisviolascens
E1STX0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Ferrimonadaceae;g__Ferrimonas;s__Ferrimonasbalearica	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Ferrimonadaceae	g__Ferrimonas	s__Ferrimonasbalearica
W0E0F9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Marichromatium;s__Marichromatiumpurpuratum	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Marichromatium	s__Marichromatiumpurpuratum
B0TB49	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae;g__Heliomicrobium;s__Heliomicrobiummodesticaldum	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Heliobacteriaceae	g__Heliomicrobium	s__Heliomicrobiummodesticaldum
Q481V0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;s__Colwelliapsychrerythraea	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Colwelliaceae	g__Colwellia	s__Colwelliapsychrerythraea
A0A0X8G6R6	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter;s__	d__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Lutibacter	s__
Q2IPS4	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter;s__Anaeromyxobacterdehalogenans	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__Anaeromyxobacter	s__Anaeromyxobacterdehalogenans
A1VR67	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;s__Polaromonasnaphthalenivorans	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	s__Polaromonasnaphthalenivorans
Q6M0R7	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcusmaripaludis	d__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanococcus	s__Methanococcusmaripaludis
D5XB20	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Thermincolaceae;g__Thermincola;s__Thermincolapotens	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Thermincolaceae	g__Thermincola	s__Thermincolapotens
Q3B273	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Pelodictyon;s__Pelodictyonluteolum	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__Chlorobiaceae	g__Pelodictyon	s__Pelodictyonluteolum
C7R1S4	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Jonesiaceae;g__Jonesia;s__Jonesiadenitrificans	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Jonesiaceae	g__Jonesia	s__Jonesiadenitrificans
